Sentiment,Category,Review
positive,clothing,perfect fit highly recommend highly recommend excellent quality fast shipping great product disappointed with highly recommend excellent quality highly recommend
neutral,home appliances,value for money great product easy to use stylish design perfect fit highly recommend great product poor customer service easy to use excellent quality value for money highly recommend easy to use perfect fit value for money stylish design great product
negative,clothing,fast shipping stylish design excellent quality excellent quality perfect fit disappointed with disappointed with excellent quality disappointed with highly recommend fast shipping
positive,electronics,highly recommend great product easy to use highly recommend easy to use
neutral,home appliances,poor customer service great product poor customer service poor customer service excellent quality highly recommend perfect fit disappointed with poor customer service excellent quality fast shipping fast shipping great product great product stylish design great product poor customer service stylish design great product
positive,home appliances,great product fast shipping poor customer service easy to use value for money easy to use easy to use great product disappointed with poor customer service fast shipping
neutral,clothing,easy to use value for money fast shipping value for money fast shipping disappointed with stylish design disappointed with value for money great product easy to use stylish design
positive,clothing,highly recommend perfect fit perfect fit fast shipping disappointed with value for money easy to use poor customer service
neutral,home appliances,disappointed with value for money excellent quality great product value for money value for money fast shipping highly recommend excellent quality great product highly recommend
positive,clothing,disappointed with value for money highly recommend highly recommend poor customer service stylish design easy to use
positive,clothing,easy to use great product great product fast shipping poor customer service stylish design perfect fit excellent quality perfect fit easy to use
negative,home appliances,value for money disappointed with perfect fit value for money stylish design poor customer service perfect fit fast shipping
neutral,clothing,value for money value for money value for money perfect fit value for money value for money fast shipping
neutral,clothing,stylish design perfect fit highly recommend highly recommend perfect fit excellent quality great product fast shipping perfect fit poor customer service excellent quality great product easy to use disappointed with
negative,electronics,value for money poor customer service disappointed with stylish design stylish design poor customer service
negative,home appliances,great product fast shipping great product poor customer service excellent quality highly recommend value for money value for money value for money disappointed with value for money highly recommend
negative,electronics,stylish design highly recommend great product stylish design fast shipping perfect fit fast shipping poor customer service perfect fit excellent quality disappointed with highly recommend poor customer service perfect fit fast shipping great product poor customer service poor customer service
negative,home appliances,value for money great product value for money perfect fit excellent quality fast shipping perfect fit
negative,home appliances,highly recommend fast shipping poor customer service value for money disappointed with fast shipping perfect fit value for money fast shipping highly recommend stylish design excellent quality easy to use
negative,home appliances,perfect fit fast shipping great product perfect fit easy to use
positive,clothing,disappointed with poor customer service highly recommend disappointed with poor customer service poor customer service value for money easy to use easy to use stylish design fast shipping stylish design poor customer service
positive,clothing,perfect fit highly recommend excellent quality highly recommend stylish design
positive,clothing,great product poor customer service easy to use great product disappointed with excellent quality disappointed with highly recommend excellent quality highly recommend highly recommend highly recommend
positive,electronics,easy to use perfect fit fast shipping disappointed with poor customer service poor customer service excellent quality fast shipping great product poor customer service excellent quality value for money poor customer service poor customer service stylish design disappointed with easy to use highly recommend perfect fit
positive,electronics,value for money poor customer service fast shipping excellent quality poor customer service poor customer service poor customer service great product great product great product poor customer service highly recommend easy to use fast shipping stylish design
neutral,electronics,poor customer service stylish design disappointed with excellent quality highly recommend disappointed with easy to use value for money
positive,home appliances,disappointed with perfect fit perfect fit poor customer service easy to use easy to use great product disappointed with poor customer service disappointed with value for money value for money fast shipping stylish design poor customer service
neutral,home appliances,value for money stylish design highly recommend great product fast shipping excellent quality value for money value for money stylish design great product stylish design great product poor customer service fast shipping stylish design disappointed with
negative,clothing,great product poor customer service great product value for money fast shipping value for money fast shipping disappointed with highly recommend highly recommend fast shipping value for money highly recommend easy to use
negative,clothing,value for money great product highly recommend excellent quality excellent quality excellent quality easy to use disappointed with perfect fit value for money poor customer service excellent quality excellent quality fast shipping perfect fit stylish design highly recommend stylish design
negative,home appliances,value for money highly recommend disappointed with stylish design stylish design stylish design poor customer service perfect fit excellent quality highly recommend great product easy to use poor customer service poor customer service highly recommend excellent quality
positive,home appliances,stylish design great product fast shipping highly recommend perfect fit fast shipping
neutral,home appliances,disappointed with fast shipping fast shipping easy to use highly recommend poor customer service fast shipping poor customer service value for money fast shipping easy to use great product perfect fit great product value for money value for money easy to use disappointed with disappointed with
positive,home appliances,value for money perfect fit great product value for money disappointed with great product value for money value for money poor customer service value for money excellent quality great product poor customer service
negative,home appliances,perfect fit perfect fit excellent quality easy to use excellent quality disappointed with fast shipping highly recommend excellent quality great product
negative,electronics,disappointed with excellent quality great product poor customer service easy to use disappointed with excellent quality disappointed with value for money great product
neutral,home appliances,easy to use great product value for money disappointed with perfect fit perfect fit easy to use value for money poor customer service highly recommend
negative,clothing,easy to use easy to use highly recommend value for money fast shipping stylish design great product disappointed with excellent quality value for money easy to use excellent quality great product poor customer service value for money value for money fast shipping poor customer service great product great product
positive,electronics,disappointed with easy to use easy to use stylish design poor customer service value for money poor customer service stylish design disappointed with value for money value for money excellent quality fast shipping perfect fit
positive,electronics,easy to use perfect fit perfect fit great product stylish design value for money
positive,home appliances,great product excellent quality poor customer service excellent quality disappointed with fast shipping value for money value for money disappointed with excellent quality highly recommend perfect fit value for money
negative,home appliances,disappointed with great product fast shipping excellent quality easy to use value for money value for money value for money great product easy to use poor customer service disappointed with great product perfect fit easy to use great product
negative,clothing,value for money fast shipping fast shipping excellent quality stylish design great product disappointed with easy to use value for money great product stylish design great product
negative,electronics,fast shipping highly recommend perfect fit great product excellent quality excellent quality stylish design disappointed with easy to use value for money stylish design perfect fit easy to use stylish design perfect fit
positive,home appliances,easy to use great product stylish design perfect fit fast shipping poor customer service easy to use stylish design easy to use fast shipping disappointed with easy to use fast shipping disappointed with great product disappointed with easy to use
neutral,home appliances,great product great product fast shipping disappointed with highly recommend
neutral,electronics,fast shipping highly recommend highly recommend disappointed with poor customer service excellent quality value for money highly recommend
negative,home appliances,value for money poor customer service value for money highly recommend great product perfect fit perfect fit easy to use easy to use disappointed with great product perfect fit highly recommend fast shipping
positive,home appliances,poor customer service stylish design fast shipping disappointed with fast shipping poor customer service stylish design poor customer service excellent quality fast shipping value for money easy to use highly recommend stylish design value for money easy to use
negative,home appliances,perfect fit stylish design excellent quality value for money easy to use easy to use easy to use poor customer service fast shipping perfect fit stylish design great product easy to use easy to use excellent quality great product stylish design easy to use
positive,home appliances,highly recommend easy to use easy to use easy to use excellent quality excellent quality great product stylish design disappointed with highly recommend value for money stylish design great product highly recommend disappointed with easy to use highly recommend disappointed with highly recommend great product
neutral,home appliances,fast shipping poor customer service disappointed with fast shipping disappointed with easy to use perfect fit value for money excellent quality stylish design perfect fit disappointed with perfect fit value for money excellent quality disappointed with perfect fit
negative,electronics,perfect fit poor customer service fast shipping stylish design highly recommend perfect fit highly recommend highly recommend stylish design highly recommend excellent quality excellent quality fast shipping great product stylish design fast shipping disappointed with perfect fit disappointed with
positive,electronics,great product value for money easy to use excellent quality excellent quality perfect fit poor customer service perfect fit highly recommend disappointed with excellent quality disappointed with easy to use fast shipping excellent quality great product value for money excellent quality
positive,clothing,great product great product value for money fast shipping poor customer service great product great product poor customer service excellent quality perfect fit value for money fast shipping fast shipping value for money great product
positive,home appliances,perfect fit disappointed with value for money poor customer service value for money easy to use poor customer service easy to use highly recommend disappointed with value for money stylish design
positive,home appliances,value for money disappointed with disappointed with stylish design fast shipping poor customer service perfect fit fast shipping
negative,home appliances,disappointed with perfect fit value for money highly recommend stylish design highly recommend stylish design perfect fit
negative,home appliances,highly recommend perfect fit perfect fit poor customer service perfect fit perfect fit great product fast shipping great product excellent quality stylish design highly recommend highly recommend disappointed with
positive,clothing,fast shipping fast shipping easy to use value for money stylish design value for money perfect fit stylish design easy to use value for money perfect fit poor customer service value for money fast shipping poor customer service value for money excellent quality disappointed with
positive,electronics,value for money value for money stylish design easy to use highly recommend excellent quality highly recommend great product disappointed with stylish design excellent quality excellent quality excellent quality highly recommend easy to use excellent quality perfect fit
negative,home appliances,poor customer service value for money easy to use perfect fit excellent quality easy to use stylish design poor customer service easy to use
positive,clothing,excellent quality poor customer service great product easy to use value for money easy to use excellent quality easy to use stylish design excellent quality value for money disappointed with excellent quality fast shipping
positive,electronics,stylish design disappointed with disappointed with stylish design value for money great product highly recommend
positive,clothing,excellent quality value for money excellent quality highly recommend great product great product poor customer service fast shipping value for money great product excellent quality highly recommend perfect fit easy to use fast shipping
positive,home appliances,stylish design excellent quality highly recommend highly recommend value for money highly recommend disappointed with disappointed with excellent quality stylish design highly recommend great product disappointed with value for money great product stylish design
